CHANNEL4_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_pct, 0,         -nan
CHANNEL4_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_count, 0,             0
CHANNEL4_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_pct, 0,         -nan

CHANNEL5_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_count, 0,             0
CHANNEL5_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_pct, 0,         -nan
CHANNEL5_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_count, 0,             0
CHANNEL5_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_pct, 0,         -nan

CHANNEL6_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_count, 0,             0
CHANNEL6_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_pct, 0,         -nan
CHANNEL6_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_count, 0,             0
CHANNEL6_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_pct, 0,         -nan

CHANNEL7_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_count, 0,             0
CHANNEL7_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_pct, 0,         -nan
CHANNEL7_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_count, 0,             0
CHANNEL7_MEM_NUM_BANK_BUSY_PER_BUS_CYCLE_total_pct, 0,         -nan

RAMULATOR_QUEUE_ENQUEUED_count, 0,             0
RAMULATOR_QUEUE_ENQUEUED_total_count, 0,             0

RAMULATOR_QUEUE_FULL_count, 0,             0
RAMULATOR_QUEUE_FULL_total_count, 0,             0

BUS_DEMAND_ACCESS_count, 0,         99081
BUS_DEMAND_ACCESS_total_count, 0,        202994

BUS_PREF_ACCESS_count, 0,          8327
BUS_PREF_ACCESS_total_count, 0,         19053

BUS_ACCESS_count, 0,             0
BUS_ACCESS_total_count, 0,             0

L1_DEMAND_ACCESS_count, 0,        436701
L1_DEMAND_ACCESS_total_count, 0,        870383

L1_PREF_ACCESS_count, 0,         39974
L1_PREF_ACCESS_total_count, 0,         88496

L1_ACCESS_count, 0,        393600
L1_ACCESS_total_count, 0,        791896

MLC_DEMAND_ACCESS_count, 0,        321987
MLC_DEMAND_ACCESS_total_count, 0,        645396

MLC_PREF_ACCESS_count, 0,        135172
MLC_PREF_ACCESS_total_count, 0,        286348

MLC_ACCESS_count, 0,        457159
MLC_ACCESS_total_count, 0,        931744

L1_HIT_count, 206,         44913
L1_HIT_total_count, 206,         86218

L1_MISS_count, 206,         96733
L1_MISS_total_count, 206,        196261

L1_HIT_ALL_count, 207,        130402
